"settlements","nb_cluster"
"burduraswesta","1"
"githerlagsadeen","2"
"dandubulampyaa","3"
"eldanabaaeldanaba","4"
"bulacentraldidkuro","5"
"lagsurebtakaba","6"
"hardahalob","7"
"bullaelwaktakabaa","8"
"bullaeldasotakaba","RC"
"bnguvu","9"
"bmadarasa","10"
"shobaa","11"
"zonebanisabullachake","RC"
"dadachaderakiliwe","12"
"bullaalowameyi","13"
"goljoa","14"
"bullasafaricomguba","15"
"bullakomamalkamari","16"
"bullahospitalaeymole","RC"
"bulaakabia","17"
"bulajamhuri","RC"
"owrudimtu","18"
"bullabarwaqorhamu","19"
"bullampyarhamutown","20"
"bullanguvubrhamutown","21"
"lagadirhamu","22"
"waldirirhamu","23"
"qoraheyrhamudimtu","24"
"yabichobyabicho","25"
"quracmathow","26"
"gutichagutichatown","27"
"barwaqoolla","28"
"bulladarandiraresa","29"
"bamincentralmdrtown","RC"
"bfalahbullampya","30"
"garbaadoanimalmktneboi","31"
"bboystownpower","32"
"jamhuriwest","33"
"beastquradeer","34"
"fiqo","35"
"btawakal","36"
"bulladanaelwak","37"
"elhagarsubelwak","38"
"elwakhc","39"
"qalanqalesacharifuda","40"
"garsedam","41"
"kubihillswargadud","42"
